Subject,Receipt
NYE Party 2020 @ Navigator Taproom ğŸ‰,0
NYE Party 2020 @ Navigator Taproom ğŸ‰,0
10% off All ITEMS at QXYDumplings! Come celebrate our 5th anniversary with us!,0
Navigator Taproom Holiday eGift Cards!,0
We miss you! Come back for a special offer,0
"ğŸ… Get a Lucy's Gift Card: Fried Chicken, Cheese Fries, oh my!  Hint: Idea for your Christmas Wish List ğŸ…",0
Receipt from Qing Xiang Yuan Dumplings,1
Navigator Taproom Holiday eGift Cards!,0
Help us protect you: Security advice from Google,0
"ğŸ… Get a Lucy's Gift Card: Fried Chicken, Cheese Fries, oh my!  Hint: Idea for your Christmas Wish List ğŸ…",0
Navigator Taproom Holiday eGift Cards!,0
Black Friday is almost here!,0
Navigator Taproom Holiday eGift Cards!,0
Last Chance for Thanksgiving Pie!! ğŸ¥§ğŸ¦ƒ,0
"Yoga + Brunch & Beer! Saturday November 23rd, 10:30am at Navigator Taproom $35",0
Only A Few Days Left to Order for Thanksgiving! ğŸ¥§ğŸ¦ƒ,0
Extra Strength Orange is Here!,0
"Yoga + Brunch & Beer! Saturday November 23rd, 10:30am at Navigator Taproom $35",0
"Yoga + Brunch & Beer! Saturday November 23rd, 10:30am at Navigator Taproom $35",0
Fan questions answered: What's up with the 2:30 Feeling?,0
Changes to YouTubeâ€™s Terms of Service,0
Receipt from Gathers Tea Bar,1
Receipt from Gathers Tea Bar,1
HappyÂ Â ğŸƒHalloweenğŸƒ from 5-hour ENERGYÂ®Â ğŸ‘»ğŸ‘»ğŸ‘»,0
Thanksgiving Pie Flash Sale! ğŸ¥§ğŸ¦ƒ,0
Get Ready for ğŸƒHalloweenğŸƒ with 5-hour ENERGYÂ®Â ğŸ‘»ğŸ‘»ğŸ‘»,0
Orange You Glad We Made it?,0
"Yoga + Brunch & Beer! Saturday October 26th, 10:30am at Navigator Taproom $35",0
"Yoga + Brunch & Beer! Saturday October 26th, 10:30am at Navigator Taproom $35 Updated Eventbrite link.",0
Receipt from Donut Pub,1
Open carefully âš°ï¸ This Halloween news will haunt your belly!,0
"Yoga + Brunch & Beer! Saturday October 26th, 10:30am at Navigator Taproom $35",0
"Order for Thanksgiving now, Save Big Time! ğŸ¥§ğŸ¦ƒ",0
New Series! The Running Man answers fan questions,0
Receipt from Ground Up Coffee & Bites,1
Meet your new study partner! 5-hour ENERGYÂ®,0
Join Lucy's new loyalty program and earn a free sandwich every 10 visits!,0
Receipt from Jackalope Coffee & Tea House,1
Join Lucy's new loyalty program and earn a free sandwich every 10 visits!,0
Receipt from Jackalope Coffee & Tea House,1
"$5 off code for our Last Outdoor Yoga + Brunch & Beer of the season. This Saturday September 21st, 10:30am at Navigator Taproom",0
"Yoga + Brunch & Beer outside on rooftop party deck of the L Building! Saturday September 21st, 10:30am at Navigator Taproom $35",0
Enter for a chance to win a trip to meet Dierks Bentley in Nashville,0
"Yoga + Brunch & Beer outside on rooftop party deck of the L Building! Saturday September 21st, 10:30am at Navigator Taproom $35",0
Help us protect you: Security advice from Google,0
Receipt from Jackalope Coffee & Tea House,1
Critical security alert,0
Receipt from Jackalope Coffee & Tea House,1
The Chicken Sandwich That Could Save America,0
Get Beats when you shop with education pricing.,0
Fwd: Your Amazon.com order of Anthem Athletics Infinity... and 2 more items.,1
"Fwd: Your Amazon.com order of ""8 Travel Space Saver Bags ..."".",1
"Fwd: Your Amazon.com order of ""Bose SoundLink Color..."".",1
Fwd: Your Amazon.com order,0
"Fwd: Your Amazon.com order of ""Persona 5 - Standard..."".",1
Fwd: You are registered for ACen 2019!,0